,Vernier,Cam,L,Lambda,Lp,Ld,Time
142,-0.0,0.7248495792798489,1.6410509666240813,1.2996109450322775,1.6088304915777774,1.6603696680200613,0.3610403537750244
143,-0.0,0.6420354962862342,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6525452069723772,0.36002564430236816
144,-0.0,0.6882935188300277,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6537217391861345,0.3610098361968994
145,-0.0,0.7830465834250202,1.6410509666240813,1.2996109450322775,1.6343707148493904,1.6537217391861345,0.3610358238220215
146,-0.0,0.7717042081609018,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6603696680200613,0.3610653877258301
147,-0.0,0.5872393933199295,1.6410509666240813,1.2996109450322775,1.618734765096783,1.6603696680200613,0.3610355854034424
148,-0.0,0.6787926853695883,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.6603696680200613,0.3600342273712158
149,-0.0,0.734525768192151,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6525452069723772,0.3610382080078125
150,-0.0,0.6156475373526383,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.673814385027647,0.36103343963623047
151,-0.0,0.737282522532313,1.6410509666240813,1.2996109450322775,1.6287435938720565,1.6886600013790345,0.3620307445526123
152,-0.0,0.6615539646459415,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.673814385027647,0.36203455924987793
153,-0.0,0.8187424049253039,1.6410509666240813,1.2996109450322775,1.6198611573969377,1.6603696680200613,0.3619992733001709
154,-0.0,0.6794098549082592,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6603696680200613,0.3610653877258301
155,-0.0,0.7179440841455502,1.6410509666240813,1.2996109450322775,1.6276393334196315,1.665883427918705,0.36006927490234375
156,-0.0,0.6420961022923485,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.6537217391861345,0.36299753189086914
157,-0.0,0.6420354962862342,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6525452069723772,0.36106395721435547
158,-0.0,0.6794098549082592,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6603696680200613,0.36103224754333496
159,-0.0,0.7534590088898575,1.6410509666240813,1.2996109450322775,1.614323533026528,1.673814385027647,0.36302995681762695
160,-0.0,0.6991267594996958,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6818073397206026,0.364030122756958
161,-0.0,0.6794098549082592,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6603696680200613,0.3619968891143799
162,-0.0,0.734525768192151,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6525452069723772,0.3620619773864746
163,-0.0,0.7717042081609018,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6603696680200613,0.3610420227050781
164,-0.0,0.5957442435575862,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6513728921035826,0.36199951171875
165,-0.0,0.8187424049253039,1.6410509666240813,1.2996109450322775,1.6198611573969377,1.6603696680200613,0.36305975914001465
166,-0.0,0.6240787689888243,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.665883427918705,0.3610661029815674
167,-0.0,0.6882935188300277,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6537217391861345,0.3660440444946289
168,-0.0,0.6876930391968838,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.6537217391861345,0.3620264530181885
169,-0.0,0.5872393933199295,1.6410509666240813,1.2996109450322775,1.618734765096783,1.6603696680200613,0.3620316982269287
170,-0.0,0.7089489988749152,1.6410509666240813,1.2996109450322775,1.6287435938720565,1.673814385027647,0.36104249954223633
171,-0.0,0.7717042081609018,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6603696680200613,0.36199331283569336
172,-0.0,0.8195897844129293,1.6410509666240813,1.2996109450322775,1.6265394184859767,1.6603696680200613,0.3600728511810303
173,-0.0,0.6240787689888243,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.665883427918705,0.36402153968811035
174,-0.0,0.6333091234070878,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.6603696680200613,0.36403989791870117
175,-0.0,0.7807815915002909,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6537217391861345,0.3620305061340332
176,-0.0,0.7251907247643277,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.661553946974666,0.36302995681762695
177,-0.0,0.530945999420602,1.6410509666240813,1.2996109450322775,1.6055800413417223,1.665883427918705,0.3640263080596924
178,-0.0,0.5863052090075257,1.6410509666240813,1.2996109450322775,1.6055800413417223,1.6603696680200613,0.36302995681762695
179,-0.0,0.5780740701369371,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.665883427918705,0.36302781105041504
180,-0.0,0.6420961022923485,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.6537217391861345,0.36302733421325684
181,-0.0,0.5863052090075257,1.6410509666240813,1.2996109450322775,1.6055800413417223,1.6603696680200613,0.3630235195159912
182,-0.0,0.6154248800287723,1.6410509666240813,1.2996109450322775,1.6055800413417223,1.6750058210114238,0.3630375862121582
183,-0.0,0.6420961022923485,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.6537217391861345,0.3620293140411377
184,-0.0,0.6794098549082592,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6603696680200613,0.3620002269744873
185,-0.0,0.7717042081609018,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6603696680200613,0.36406373977661133
186,-0.0,0.7822891377036912,1.6410509666240813,1.2996109450322775,1.6276393334196315,1.6537217391861345,0.3630247116088867
187,-0.0,0.5877087566937025,1.6410509666240813,1.2996109450322775,1.6253841895080519,1.6603696680200613,0.3640258312225342
188,-0.0,0.7534590088898575,1.6410509666240813,1.2996109450322775,1.614323533026528,1.673814385027647,0.3620259761810303
189,-0.0,0.7732454679593964,1.6410509666240813,1.2996109450322775,1.6276393334196315,1.6603696680200613,0.364027738571167
190,-0.0,0.5863052090075257,1.6410509666240813,1.2996109450322775,1.6055800413417223,1.6603696680200613,0.364027738571167
